"ID","Collection","ENS","Minting Date","Tx Count","Power"
"2175774","0x76da95534c57516625948baa9d069d5ed371b324","willblackburn.eth","Fri, 15 Oct 2021 16:18:00 GMT","1","12"
"2176424","0x57542716ca595fda87e031702fc0684df6754554","","Fri, 15 Oct 2021 17:17:15 GMT","1","8"
"2176425","0x9934f8ccfdf5e008ac8c07bf00582a833cd33b99","narbeh.eth","Fri, 15 Oct 2021 17:17:15 GMT","1","7"
"2176427","0xb7ee0b6889cd0590a590aab01485ea164db03307","fllstck.eth","Fri, 15 Oct 2021 17:17:30 GMT","1","6"
"2176428","0x4e8ad3c90f026e4d034b81ba0e1a929e77d80b36","kempsterrrr.eth","Fri, 15 Oct 2021 17:17:30 GMT","1","8"
"2176429","0x0ed6cec17f860fb54e21d154b49daefd9ca04106","dhaiwat.eth","Fri, 15 Oct 2021 17:17:30 GMT","1","7"
"2176430","0x93c263a1209dc3cc5bf98781e907167f3cbd91ae","nicnic.eth","Fri, 15 Oct 2021 17:17:35 GMT","1","10"
"2176431","0xd8552cd64415efcdfdb9fc8f96c4ff5bc4e3c1ca","","Fri, 15 Oct 2021 17:17:35 GMT","1","4"
"2176432","0xbb94f8a45db40d34aa5a83fc0d33ca25020189e6","dinah.eth","Fri, 15 Oct 2021 17:17:40 GMT","1","6"
"2176433","0x488cff2bf19867f6f124ae59eef978c8bb3d53f3","","Fri, 15 Oct 2021 17:17:40 GMT","1","1"
"2176434","0xec57157adeb11f9822039a48a97b365bc22cbc49","nathanng.eth","Fri, 15 Oct 2021 17:17:45 GMT","1","7"
"2176435","0x1ec1ccef3e1735bda3f4ba698e8a524aa7c93274","mantisdatasolutions.eth","Fri, 15 Oct 2021 17:17:45 GMT","1","43"
"2176436","0xbc5849e2b9f7d9714f7ea2c3dba20ecb939bf37c","","Fri, 15 Oct 2021 17:17:45 GMT","1","2"
"2176437","0x07f1fb513eefb2da17ff90a200859bdae52f0bb3","","Fri, 15 Oct 2021 17:17:45 GMT","1","1"
"2176438","0x3e259685a7b778de2a8dbdf836659c4011ccab9e","brolag.eth","Fri, 15 Oct 2021 17:17:58 GMT","1","10"
"2176439","0xdc8f236ef479834bf240fd429ba1da0e637440d8","","Fri, 15 Oct 2021 17:17:58 GMT","1","1"
"2176440","0xfb43e405745384be949dabc3d3cc826b7f2bd1fb","pixelpapersheep.eth","Fri, 15 Oct 2021 17:18:00 GMT","1","5"
"2176441","0x9fe15c2783529777253c8a7c62eae3687ff9688c","","Fri, 15 Oct 2021 17:18:00 GMT","1","1"
"2176442","0xa2e60b4dfabb2ead01c70f95c8f2fe88747a7e6e","0xbee.eth","Fri, 15 Oct 2021 17:18:10 GMT","1","4"
"2176443","0xf5ae48195167eb071370cf4c9a2888dde816ffff","","Fri, 15 Oct 2021 17:18:10 GMT","1","7"
"2176444","0x90bf6943afccff7ac04deabc7231ebc9ee2f66f2","jcarnes.eth","Fri, 15 Oct 2021 17:18:20 GMT","1","4"
"2176446","0xf0a896bff9d2685cfbf48e7ea530f9705e30591d","","Fri, 15 Oct 2021 17:18:40 GMT","1","4"
"2176448","0xa592b977b98697ed0269b645af1d09289fae8948","manuelpires.eth","Fri, 15 Oct 2021 17:19:10 GMT","1","1"
"2176454","0xb872db8f21934317a79c9b74d8c001bb015e6045","jesseweigel.eth","Fri, 15 Oct 2021 17:20:20 GMT","1","2"
"2176455","0x49f05db4d61a545f450f48b52c96fb3065281ae1","","Fri, 15 Oct 2021 17:20:50 GMT","1","7"
"2176462","0x64ae4fd3e9906ee4a0189e3a393d19b3e35cdb67","0xpaulie.eth","Fri, 15 Oct 2021 17:23:20 GMT","1","6"
"2176463","0x423e588119854df936d7f1e1f33864aba8cdccf2","","Fri, 15 Oct 2021 17:23:50 GMT","1","1"
"2176469","0x33878e070db7f70d2953fe0278cd32adf8104572","aabugosh.eth","Fri, 15 Oct 2021 17:27:15 GMT","1","8"
"2176472","0xf1723a2ab8c1160ea6676611b983d4031edb4e2b","","Fri, 15 Oct 2021 17:29:25 GMT","1","3"
"2176524","0x37fcd624d249b4a2eee74ad9982da563a995b4d1","kavimaluskam.eth","Fri, 15 Oct 2021 17:41:00 GMT","1","8"
"2176533","0xca0f403d2a602e4d8c0a6a984b973d7958fbf463","","Fri, 15 Oct 2021 17:42:00 GMT","1","6"
"2176583","0xf79dc10466abbc51244d746ae3405501e17a254e","shaunc.eth","Fri, 15 Oct 2021 17:49:38 GMT","1","7"
"2176586","0xc9bf304643efeef8ccdd0befddcb90332997954f","","Fri, 15 Oct 2021 17:50:50 GMT","1","4"
"2176599","0x058e6cf8872e54f8196b0dfb354344906a0798a6","","Fri, 15 Oct 2021 17:59:08 GMT","1","6"
