"ID","Collection","ENS","Minting Date","Tx Count","Power"
"2053406","0x76da95534c57516625948baa9d069d5ed371b324","willblackburn.eth","Fri, 08 Oct 2021 17:00:20 GMT","1","12"
"2053504","0xc40ef903a95d7f6489ed387c051085eca657a2fd","rbank.eth","Fri, 08 Oct 2021 17:16:35 GMT","1","7"
"2053510","0xb03f5438f9a243de5c3b830b7841ec315034cd5f","michaelrossman.eth","Fri, 08 Oct 2021 17:17:10 GMT","1","29"
"2053511","0x33878e070db7f70d2953fe0278cd32adf8104572","aabugosh.eth","Fri, 08 Oct 2021 17:17:10 GMT","1","8"
"2053512","0x46f8351307482c162d7267f0fe08d5efd8ba3bf1","gjsyme.eth","Fri, 08 Oct 2021 17:17:10 GMT","1","7"
"2053516","0x378ff65cb9e9b83b86aa2534c9991e5b28f1ec92","wolovim.eth","Fri, 08 Oct 2021 17:17:40 GMT","1","12"
"2053520","0xd25040166eb8c27f5cbe33a5f07338f013d248c0","worldsveryfirst.eth","Fri, 08 Oct 2021 17:18:10 GMT","1","3"
"2053522","0x614583a6a651006d73a64a667b2b96b4e46500e4","","Fri, 08 Oct 2021 17:18:10 GMT","1","9"
"2053524","0xe89c2545e4e05a79d21351cdeeda4651ca48debc","","Fri, 08 Oct 2021 17:18:15 GMT","1","12"
"2053528","0x590724102b617a8d2caa13684c76acae4ca893f1","0xjof.eth","Fri, 08 Oct 2021 17:18:35 GMT","1","4"
"2053529","0xa1ca8926c1a9a78a3effae666e57b0065d78a604","angelgomez.eth","Fri, 08 Oct 2021 17:18:35 GMT","1","1"
"2053531","0x0ed6cec17f860fb54e21d154b49daefd9ca04106","dhaiwat.eth","Fri, 08 Oct 2021 17:18:50 GMT","1","7"
"2053533","0x2766f8ecf6167720f7f36703467e6ff5aa05b887","","Fri, 08 Oct 2021 17:19:00 GMT","1","5"
"2053537","0xb7ee0b6889cd0590a590aab01485ea164db03307","fllstck.eth","Fri, 08 Oct 2021 17:19:10 GMT","1","6"
"2053540","0x21d58d30112ee38743bf66b0cba9637bac0e6953","lllllllllll.eth","Fri, 08 Oct 2021 17:19:15 GMT","1","11"
"2053544","0x5dfa1a7f005b61f26c3f6c227723259f0d890d89","svenso.eth","Fri, 08 Oct 2021 17:19:30 GMT","1","31"
"2053545","0xa1adf3dda8d7f62cbab65a86926ba46ac265cf2e","","Fri, 08 Oct 2021 17:19:35 GMT","1","1"
"2053546","0x4e8ad3c90f026e4d034b81ba0e1a929e77d80b36","kempsterrrr.eth","Fri, 08 Oct 2021 17:19:35 GMT","1","8"
"2053547","0xfd6d769a97ad2560306f3a5ab664f193d86a03bf","","Fri, 08 Oct 2021 17:19:45 GMT","1","2"
"2053551","0xaefacf945a5986f864585a4851293d9f4a14da9b","","Fri, 08 Oct 2021 17:20:15 GMT","1","17"
"2053552","0x49f05db4d61a545f450f48b52c96fb3065281ae1","","Fri, 08 Oct 2021 17:20:25 GMT","1","7"
"2053555","0x87666ede056dd739d36420eaac7245d521925835","","Fri, 08 Oct 2021 17:20:45 GMT","1","3"
"2053565","0xa0fd7abc1470042b8fec44aab8cb5b5c053571c8","georgeon.eth","Fri, 08 Oct 2021 17:21:55 GMT","1","5"
"2053566","0xc9bf304643efeef8ccdd0befddcb90332997954f","","Fri, 08 Oct 2021 17:22:05 GMT","1","4"
"2053569","0xd873de22250c778ad161af95da826f455ba6706f","campbellkearns.eth","Fri, 08 Oct 2021 17:22:30 GMT","1","6"
"2053574","0xbb94f8a45db40d34aa5a83fc0d33ca25020189e6","dinah.eth","Fri, 08 Oct 2021 17:23:35 GMT","1","6"
"2053580","0x31de6e974a6481ef197433d615b5f85661b9cab2","","Fri, 08 Oct 2021 17:24:30 GMT","1","1"
"2053585","0xa96d0a707dff0718bba819361cea0da0d0d48302","","Fri, 08 Oct 2021 17:25:20 GMT","1","4"
"2053586","0x9e33078f3398be71da0e0fba182af22eea0ebb12","carllippert.eth","Fri, 08 Oct 2021 17:25:40 GMT","1","5"
"2053618","0x93c263a1209dc3cc5bf98781e907167f3cbd91ae","nicnic.eth","Fri, 08 Oct 2021 17:27:00 GMT","1","10"
"2053627","0xe7b30a037f5598e4e73702ca66a59af5cc650dcd","","Fri, 08 Oct 2021 17:27:30 GMT","2","15"
"2053639","0xaa2a0b422c4876c3511cfe1fbc4218dd0796735c","eurvin.eth","Fri, 08 Oct 2021 17:28:05 GMT","1","10"
"2053654","0x9934f8ccfdf5e008ac8c07bf00582a833cd33b99","narbeh.eth","Fri, 08 Oct 2021 17:28:45 GMT","1","7"
"2053681","0xf1723a2ab8c1160ea6676611b983d4031edb4e2b","","Fri, 08 Oct 2021 17:30:50 GMT","1","3"
"2053699","0x57542716ca595fda87e031702fc0684df6754554","","Fri, 08 Oct 2021 17:32:50 GMT","1","8"
"2053711","0xf0a896bff9d2685cfbf48e7ea530f9705e30591d","","Fri, 08 Oct 2021 17:33:25 GMT","1","4"
"2053732","0x872c7441979ff47c427c07e222bec125829c9679","","Fri, 08 Oct 2021 17:35:45 GMT","1","1"
"2053843","0xf4cfd4e654b920a0a36b2ac4ff9f0b0a05d79373","fnery.eth","Fri, 08 Oct 2021 17:45:10 GMT","1","11"
"2053871","0x0df95d14a635058dd9dc7df51e4980b224b50bd2","nagma.eth","Fri, 08 Oct 2021 17:48:05 GMT","1","4"
"2053994","0x7ed9dc4698e7517031290712a0c542996ddd6e40","vilppu.eth","Fri, 08 Oct 2021 17:58:40 GMT","1","27"
"2054682","0xc10f67e740095c00d4f29ce76615b00812e88871","","Fri, 08 Oct 2021 18:24:35 GMT","1","3"
"2054696","0x9c281902c8defdd2277993318ee702da5b708752","lukey.eth","Fri, 08 Oct 2021 18:25:45 GMT","1","18"
"2054952","0x37fcd624d249b4a2eee74ad9982da563a995b4d1","kavimaluskam.eth","Fri, 08 Oct 2021 18:45:05 GMT","1","8"
"2055859","0x8289432acd5eb0214b1c2526a5edb480aa06a9ab","wslyvh.eth","Fri, 08 Oct 2021 19:23:05 GMT","1","39"
"2057605","0x06ce7aa062c3cfef67152ef45147213ee33d42a6","","Fri, 08 Oct 2021 20:27:15 GMT","1","9"
